ID,m0,m12,a0,tanb,vs,lam,b0,lamp,lamf,lmmix,mh,mW,mZp,mCha,mChi1,mChi2,mFe4,mHI01,mHI02,mHIP1,mChiP1,mChiP2,mChaP1,muegamma,mueee,loglike,CLs,zplim,HBobsr,HSpval,SModelSr,SModelSrm1,Result
13,3746.049112080842,2166.3150756705472,-2290.454815379235,38.153847413804925,14525.304097577098,0.07508524700305863,1219.2343728023748,0.05565207902539835,0.004630166431907095,0.47023466045111467,1.24661053E+02,8.03590381E+01,4.68128342E+03,6.83883002E+02,3.70417388E+02,6.83887532E+02,4.66031343E+03,3.79363102E+03,5.22551002E+03,5.22547439E+03,1.13520336E-02,8.36284458E+02,8.30286936E+02,7.34383753E-25,4.21653292E-27,0.8232633512030921,0.44829111312485587,0.33470489762062317,0.7585884504132243,0.44745172713791914,0.5752208,-0.4247792,0.037806127000448705
239,3539.79388940842,1994.9355770007642,-2143.644110196986,39.51685058621337,15654.23152074824,0.06680158577822508,1257.1715639457261,0.049368238907794265,0.004643617269466685,0.46479048036851756,1.24106696E+02,8.03591433E+01,5.04852652E+03,6.27060889E+02,3.38460684E+02,6.27026375E+02,4.67031998E+03,3.48476267E+03,4.70237955E+03,4.70229528E+03,1.08963074E-02,8.04111452E+02,7.97923893E+02,8.14973693E-25,4.67546109E-27,0.3693648405781697,0.6278561677812088,0.1831039672279567,0.7582022661183728,0.4348125624512843,0.3774453,-0.6225547,0.060066745090898065
576,3501.4005156539015,1802.8775610606913,-2425.120387153233,39.712488363047065,15602.121916362481,0.06678273259885721,1236.9027522759468,0.054397657991719126,0.00419758738578661,0.4681003213429816,1.24056492E+02,8.03590545E+01,5.02911508E+03,5.70109268E+02,3.05335289E+02,5.70033587E+02,4.67379495E+03,3.44268749E+03,4.59151193E+03,4.59142101E+03,9.77260156E-03,8.79588070E+02,8.73925887E+02,7.19342501E-25,4.12974733E-27,0.38809342033095034,0.618677426566349,0.18949003465647826,0.7581419722309983,0.43382689819555065,0.3857966,-0.6142034000000001,0.05812222972704196
736,3708.2955826219077,1589.5510662740026,-2668.5117894159657,31.049104454870367,17916.02723827094,0.0582674984066912,1459.7999209012787,0.023416676010452924,-0.005592754104772448,0.42637205931056266,1.23718610E+02,8.03614869E+01,5.79934019E+03,4.96145856E+02,2.62239362E+02,4.96027341E+02,4.71198352E+03,3.32833571E+03,4.84728187E+03,4.84730752E+03,2.07615184E-02,4.55957097E+02,4.45644159E+02,1.37284809E-25,1.35441766E-27,0.0435848654496434,0.8860476736550128,0.03995173382771769,0.7579463367542468,0.4244521340480928,0.6264428,-0.37355720000000003,0.07981420059889119
887,3407.7192244526973,1689.8354259155196,-2329.1988507332153,32.87766519842673,19388.120272153024,0.05398251529822534,1458.8627661367063,0.022204191990648808,-0.006612580835963824,0.4237738412166521,1.24789124E+02,8.03604288E+01,6.27511959E+03,5.24796092E+02,2.79190575E+02,5.24685226E+02,4.70912097E+03,2.77327609E+03,3.96499813E+03,3.96492719E+03,2.24573441E-02,4.67369474E+02,4.57372046E+02,2.58523976E-25,1.72824020E-27,0.012444448216900899,0.9837553069520143,0.02920618767644044,0.7585951227951889,0.45024236793493666,0.6191843,-0.3808157,0.09048373049321932
903,3518.2157569619035,1724.322010187352,-1017.9551858883233,8.948300549169314,17173.042690229566,0.05655730052632642,1675.4420714595462,0.014022955670000222,0.005201048956307786,0.4213462303587282,1.21541633E+02,8.03694697E+01,5.58531908E+03,5.14599448E+02,2.74614742E+02,5.14541055E+02,4.74139625E+03,3.38456184E+03,4.75888745E+03,4.75888956E+03,8.98487486E-02,2.76417831E+02,2.59305707E+02,1.23118978E-27,5.48533940E-26,0.11575504232004688,0.8055575354506819,0.047786224368211505,0.7571997836852646,2.9000182761196314e-05,0.4974302,-0.5025698000000001,4.535857906467263e-06
973,3573.014203671717,1573.7978734841768,-2224.6692507502657,31.662196708871583,15919.66017796794,0.06592370349884612,1319.7769925106654,0.07361061905131172,0.00040296016159144764,0.4690413812435743,1.22850654E+02,8.03591324E+01,5.12980413E+03,5.02835377E+02,2.67163832E+02,5.02722902E+02,4.67009333E+03,3.52407006E+03,4.83254061E+03,4.83246674E+03,1.10534620E-03,1.20005316E+03,1.19598944E+03,2.18478458E-25,1.57046042E-27,0.3160232861379737,0.6533091285683742,0.1686701077245233,0.7575126076231455,0.4000859239421165,0.4957929,-0.5042071,0.04557682863922241
971,2931.082246611878,1519.8635453470968,-1776.6387504340282,36.49111246788651,15420.86417410714,0.09914481402619946,1233.5690967625349,0.03940090887196152,0.006525807277741271,0.46040774256699213,1.23593992E+02,8.03603171E+01,4.97735112E+03,4.78651459E+02,2.52525041E+02,4.78503874E+02,4.69528630E+03,2.98645336E+03,3.40178551E+03,3.40153825E+03,1.74800792E-02,6.38529131E+02,6.30696481E+02,1.22512178E-24,7.11701650E-27,0.4307633964553428,0.5971911105122992,0.2036018917629924,0.7577448406864423,0.42213921871308646,4.395401,3.3954009999999997,2.427699204311795e-09
1030,3982.4952667371467,1978.7889034740324,-2423.5328596641334,33.33612068932047,19900.61610762018,0.04107483762769213,1434.1944099383009,0.01166289355426699,-0.003376794274581438,0.4177497682604448,1.24341562E+02,8.03686012E+01,6.46370071E+03,5.76462323E+02,3.21994727E+02,5.76736331E+02,4.72877908E+03,3.28026977E+03,5.19275910E+03,5.19281527E+03,1.61271713E-02,2.67878636E+02,2.50114511E+02,9.50212864E-26,1.11010398E-27,0.02014775936988708,0.9861544114416099,0.02409190468771482,0.7584027751603023,0.4372824647628558,0.5304142,-0.46958580000000005,0.13528882047604052
996,3117.224406594142,1816.8190040291329,-1436.1935373911365,26.531004450798253,14864.786812261962,0.08667330573620965,1287.453258323402,0.05311091259904808,-0.007380536090366541,0.4217612323041459,1.23195534E+02,8.03594712E+01,4.79635177E+03,5.74600481E+02,3.05296924E+02,5.74486468E+02,4.67605634E+03,3.32143631E+03,4.26975159E+03,4.26972133E+03,2.33139362E-02,8.27846774E+02,8.22436401E+02,5.32222852E-25,3.32218696E-27,0.6375182991849432,0.5066100885774293,0.2785212566185251,0.7576806190005485,0.40967484055355163,0.4099181,-0.5900818999999999,0.03819123720055315
1006,3677.8994573919626,2008.8256748184617,-1714.2785947034006,29.279670280778106,16315.378871922483,0.05337890959244207,1973.6266172578237,0.07233421155429975,-0.0009898246664622658,0.4802510632055036,1.23263075E+02,8.03587179E+01,5.25809410E+03,6.04842707E+02,3.42561666E+02,6.05214878E+02,4.65712677E+03,3.60981309E+03,5.03886015E+03,5.03875855E+03,2.74933409E-03,1.20486766E+03,1.20071824E+03,1.91324197E-25,1.68084226E-27,0.23425433498612408,0.7013083819228754,0.13842052848129205,0.7578174074005218,0.41121486346978564,0.2384465,-0.7615535,0.05735338353982768
1099,3248.4518904319993,1845.8562790219705,-1511.406788751174,26.963858124004375,14590.677889442506,0.09197448330713492,1280.5992246452745,0.04659594717404972,-0.005385047492872698,0.41485251019962455,1.23468315E+02,8.03597056E+01,4.71023262E+03,5.84322115E+02,3.09758208E+02,5.84212629E+02,4.67874451E+03,3.45288887E+03,4.56472507E+03,4.56474499E+03,1.77462738E-02,7.17930225E+02,7.11750040E+02,4.57649630E-25,2.78244701E-27,0.7757117669422875,0.4628793649712012,0.3197922267648131,0.7578238230168276,0.4178972193093281,0.4600292,-0.5399708,0.03565173005550331
1085,3589.6817938556233,1555.788499538295,-1333.529071689909,24.10104778232737,17321.71325819375,0.04581810591340947,1328.8240335007843,0.06397210217474184,0.0010376934131437515,0.4991129614557429,1.21955858E+02,8.03596839E+01,5.59437940E+03,4.77389238E+02,2.60236385E+02,4.77432077E+02,4.68147635E+03,3.40829247E+03,4.64112600E+03,4.64092039E+03,3.41146875E-03,1.13436091E+03,1.12974610E+03,3.46297246E-26,1.85256897E-27,0.11495707245100492,0.8018277465717982,0.04991652458002862,0.7573590988675674,0.002129335456907633,0.2250678,-0.7749322,0.0002501512033855388
1112,3476.9004988530787,1772.5612913812688,-1841.6706113803903,8.757634584964974,16889.1091649733,0.06181857670491813,1706.7330936741562,0.005393708197914489,0.004259518081176798,0.414381834752445,1.22633096E+02,8.03973960E+01,5.51576690E+03,5.14750559E+02,2.72139752E+02,5.14660162E+02,4.79207014E+03,3.36362607E+03,4.68713644E+03,4.68715772E+03,1.38902913E-01,1.08035798E+02,9.99565740E+01,1.92021229E-27,6.00195120E-26,0.13724090306864614,0.7858453414265296,0.05224594866317822,0.7569475025895447,0.36868205559889433,85.00747,84.00747,7.533967293082202e-184
1189,3094.213914628203,1654.5771435369384,-1768.0069070561522,28.521231234160584,14741.03820873989,0.09991715598996274,1413.817402849995,0.04319925204468238,-0.0060180663721769775,0.40308787364311527,1.23447373E+02,8.03597918E+01,4.75887815E+03,5.22423431E+02,2.75859938E+02,5.22287521E+02,4.68779755E+03,3.28134685E+03,4.21081243E+03,4.21084660E+03,1.91764633E-02,6.76124400E+02,6.69749994E+02,5.63390653E-25,3.28477989E-27,0.685095478107593,0.48809278490709906,0.2949108164420605,0.7577515111193142,0.4177923045279115,1.030478,0.030478000000000005,0.01926436250173462
1192,3956.289145187648,1514.4056626537154,-1573.8591049874135,38.300529747322166,18983.911410691224,0.03279878819340109,1412.782007811927,0.017892076491266624,-0.0013810684138845378,0.44300447083663247,1.22623618E+02,8.03650098E+01,6.16874591E+03,4.21833527E+02,2.42939245E+02,4.22510209E+02,4.73662847E+03,3.42371540E+03,5.15070390E+03,5.15069079E+03,4.56399772E-03,3.75761732E+02,3.62579468E+02,3.96826499E-26,1.07788907E-27,0.01474193642082261,0.9807945699214008,0.03275063670413445,0.7575276930090561,0.3895989184029376,0.4824805,-0.5175195,0.07785302762114145
1214,3750.374485280299,1510.4458683198482,-1206.014014871697,29.963751961590273,15929.475680539483,0.07558727930497976,1433.1252588884736,0.056435815649281865,0.00132288255940573,0.43385174623533235,1.22184838E+02,8.03596612E+01,5.14393313E+03,4.81679435E+02,2.54069864E+02,4.81543534E+02,4.67935306E+03,3.70821561E+03,5.31719776E+03,5.31722689E+03,3.72290692E-03,9.38722334E+02,9.33833952E+02,1.38496019E-25,1.88530961E-26,0.30546384823322503,0.6620157406231828,0.16205346867218642,0.7573135252353755,0.15049197088178257,0.6443711,-0.3556289,0.013730910027908756
